iter	Passed	Remaining
638	979	553
639	981	551
640	982	550
641	983	548
642	984	546
643	985	544
644	986	543
645	988	541
646	989	539
647	990	537
648	991	536
649	992	534
650	993	532
651	994	530
652	995	529
653	996	527
654	998	525
655	999	523
656	1000	522
657	1001	520
658	1002	518
659	1004	517
660	1005	515
661	1006	513
662	1007	512
663	1008	510
664	1009	508
665	1010	506
666	1011	505
667	1012	503
668	1013	501
669	1014	499
670	1015	498
671	1016	496
672	1018	494
673	1019	493
674	1020	491
675	1021	489
676	1022	488
677	1023	486
678	1025	484
679	1026	482
680	1027	481
681	1028	479
682	1029	477
683	1030	476
684	1031	474
685	1032	472
686	1033	471
687	1035	469
688	1036	467
689	1037	465
690	1038	464
691	1039	462
692	1040	460
693	1041	459
694	1042	457
695	1043	455
696	1045	454
697	1046	452
698	1047	451
699	1048	449
700	1050	447
701	1051	446
702	1052	444
703	1053	442
704	1054	441
705	1055	439
706	1056	437
707	1057	436
708	1059	434
709	1060	433
710	1061	431
711	1062	429
712	1064	428
713	1065	426
714	1066	425
715	1067	423
716	1069	422
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1075	413
722	1076	412
723	1077	410
724	1078	409
725	1079	407
726	1081	406
727	1082	404
728	1083	402
729	1085	401
730	1086	399
731	1087	398
732	1088	396
733	1089	394
734	1090	393
735	1092	391
736	1093	390
737	1094	388
738	1096	387
739	1097	385
740	1099	384
741	1100	382
742	1101	380
743	1102	379
744	1103	377
745	1104	376
746	1105	374
747	1107	372
748	1108	371
749	1109	369
750	1110	368
751	1111	366
752	1112	364
753	1113	363
754	1114	361
755	1116	360
756	1117	358
757	1118	357
758	1119	355
759	1121	354
760	1122	352
761	1123	350
762	1124	349
763	1125	347
764	1127	346
765	1128	344
766	1130	343
767	1131	341
768	1133	340
769	1134	338
770	1135	337
771	1137	335
772	1138	334
773	1139	332
774	1140	331
775	1142	329
776	1143	328
777	1144	326
778	1145	325
779	1147	323
780	1148	321
781	1149	320
782	1150	318
783	1152	317
784	1153	315
785	1155	314
786	1156	313
787	1158	311
788	1159	310
789	1160	308
790	1161	307
791	1163	305
792	1164	304
793	1165	302
794	1167	300
795	1168	299
796	1169	297
797	1170	296
798	1171	294
799	1172	293
800	1173	291
801	1174	290
802	1176	288
803	1177	286
804	1178	285
805	1179	283
806	1180	282
807	1181	280
808	1182	279
809	1183	277
810	1185	276
811	1186	274
812	1187	273
813	1188	271
814	1189	270
815	1190	268
816	1192	267
817	1193	265
818	1194	263
819	1195	262
820	1196	260
821	1197	259
822	1199	257
823	1200	256
824	1201	254
825	1202	253
826	1203	251
827	1204	250
828	1205	248
829	1206	247
830	1207	245
831	1208	244
832	1210	242
833	1211	241
834	1212	239
835	1213	238
836	1214	236
837	1215	235
838	1217	233
839	1218	232
840	1219	230
841	1220	229
842	1221	227
843	1222	225
844	1223	224
845	1224	222
846	1225	221
847	1226	219
848	1228	218
849	1229	216
850	1230	215
851	1231	213
852	1232	212
853	1233	210
854	1234	209
855	1235	207
856	1236	206
857	1237	204
858	1239	203
859	1240	201
860	1241	200
861	1242	198
862	1243	197
863	1245	196
864	1246	194
865	1247	193
866	1248	191
867	1250	190
868	1251	188
